GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report/frontend,kristiania.enterprise.exam,Application,5,3,0,0,2,1,1,1,1,1
report/frontend,kristiania.enterprise.exam.frontend,RedirectForwardHandler,0,5,0,0,0,2,0,2,0,2
report/frontend,kristiania.enterprise.exam.frontend,WebSecurityConfig,12,99,0,0,4,29,0,5,0,5
report/frontend,kristiania.enterprise.exam.frontend.controller,UserInfoController,0,9,0,0,0,2,0,2,0,2
report/frontend,kristiania.enterprise.exam.frontend.controller,SignUpController,24,76,2,2,11,24,8,10,6,10
report/backend,kristiania.enterprise.exam.backend.services,DefaultDataInitializer,3,52,0,0,2,8,0,7,0,7
report/backend,kristiania.enterprise.exam.backend.services,TripService,26,3,0,0,8,1,1,1,1,1
report/backend,kristiania.enterprise.exam.backend.services,UserService,0,52,0,4,0,14,0,4,0,2
report/backend,kristiania.enterprise.exam.backend.entity,TripEntity,42,3,0,0,18,1,12,1,12,1
report/backend,kristiania.enterprise.exam.backend.entity,PurchaseEntity,31,0,0,0,14,0,9,0,9,0
report/backend,kristiania.enterprise.exam.backend.entity,UserEntity,18,27,0,0,6,14,6,7,6,7
report/backend,kristiania.enterprise.exam.backend,Season,9,89,0,0,0,3,2,2,2,2
report/backend,kristiania.enterprise.exam.backend,PasswordConfig,0,7,0,0,0,2,0,2,0,2
